cisp,mes,ano,aisp,risp,total
54,5,2016,39,3,2
54,6,2016,39,3,0
54,7,2016,39,3,2
54,8,2016,39,3,2
54,9,2016,39,3,0
54,10,2016,39,3,0
54,11,2016,39,3,3
54,12,2016,39,3,0
55,1,2016,24,3,1
55,2,2016,24,3,1
55,3,2016,24,3,0
55,4,2016,24,3,0
55,5,2016,24,3,0
55,6,2016,24,3,0
55,7,2016,24,3,3
55,8,2016,24,3,0
55,9,2016,24,3,0
55,10,2016,24,3,1
55,11,2016,24,3,2
55,12,2016,24,3,0
56,1,2016,20,3,0
56,2,2016,20,3,0
56,3,2016,20,3,0
56,4,2016,20,3,0
56,5,2016,20,3,0
56,6,2016,20,3,1
56,7,2016,20,3,2
56,8,2016,20,3,0
56,9,2016,20,3,0
56,10,2016,20,3,0
56,11,2016,20,3,0
56,12,2016,20,3,0
57,1,2016,20,3,0
57,2,2016,20,3,0
57,3,2016,20,3,1
57,4,2016,20,3,0
57,5,2016,20,3,0
57,6,2016,20,3,0
57,7,2016,20,3,0
57,8,2016,20,3,0
57,9,2016,20,3,0
57,10,2016,20,3,0
57,11,2016,20,3,0
57,12,2016,20,3,0
58,1,2016,20,3,0
58,2,2016,20,3,0
58,3,2016,20,3,2
58,4,2016,20,3,3
58,5,2016,20,3,0
58,6,2016,20,3,0
58,7,2016,20,3,0
58,8,2016,20,3,0
58,9,2016,20,3,2
58,10,2016,20,3,0
58,11,2016,20,3,0
58,12,2016,20,3,0
59,1,2016,15,3,1
59,2,2016,15,3,2
59,3,2016,15,3,1
59,4,2016,15,3,2
59,5,2016,15,3,0
59,6,2016,15,3,1
59,7,2016,15,3,0
59,8,2016,15,3,0
59,9,2016,15,3,1
59,10,2016,15,3,1
59,11,2016,15,3,1
59,12,2016,15,3,1
60,1,2016,15,3,1
60,2,2016,15,3,0
60,3,2016,15,3,0
60,4,2016,15,3,1
60,5,2016,15,3,1
60,6,2016,15,3,0
60,7,2016,15,3,1
60,8,2016,15,3,0
60,9,2016,15,3,1
60,10,2016,15,3,1
60,11,2016,15,3,0
60,12,2016,15,3,2
61,1,2016,15,3,0
