cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
28,11,2012,9,2,0,0,0,0,0,0,0,0,0
28,12,2012,9,2,0,0,0,0,0,0,0,0,0
29,1,2012,9,2,0,0,0,1,0,0,0,0,1
29,2,2012,9,2,0,0,0,0,0,0,0,0,0
29,3,2012,9,2,0,0,0,1,0,0,0,0,1
29,4,2012,9,2,0,0,0,1,0,0,0,0,1
29,5,2012,9,2,0,0,0,2,0,0,0,0,2
29,6,2012,9,2,0,0,0,0,0,0,0,0,0
29,7,2012,9,2,0,0,0,3,0,0,0,0,3
29,8,2012,9,2,0,0,0,0,0,0,0,0,0
29,9,2012,9,2,0,0,0,0,0,0,0,0,0
29,10,2012,9,2,0,0,0,0,0,0,0,0,0
29,11,2012,9,2,0,0,0,0,0,0,0,0,0
29,12,2012,9,2,0,0,0,3,0,0,0,0,3
30,1,2012,9,2,0,0,0,1,0,0,0,0,1
30,2,2012,9,2,0,0,0,0,0,0,0,0,0
30,3,2012,9,2,0,0,0,0,0,0,0,0,0
30,4,2012,9,2,0,0,0,0,0,0,0,0,0
30,5,2012,9,2,0,0,0,0,0,0,0,0,0
30,6,2012,9,2,0,0,0,0,0,1,0,0,1
30,7,2012,9,2,0,0,0,0,0,0,0,0,0
30,8,2012,9,2,0,0,0,1,0,0,0,0,1
30,9,2012,9,2,0,0,0,0,0,0,0,0,0
30,10,2012,9,2,0,0,0,0,0,0,0,0,0
30,11,2012,9,2,0,0,0,0,0,0,0,0,0
30,12,2012,9,2,0,0,0,0,0,0,0,0,0
31,1,2012,41,2,0,0,0,0,0,0,0,0,0
31,2,2012,41,2,0,0,0,0,0,0,0,0,0
31,3,2012,41,2,0,0,0,1,0,0,0,0,1
31,4,2012,41,2,0,0,0,0,0,0,0,0,0
31,5,2012,41,2,0,0,0,1,0,0,0,0,1
31,6,2012,41,2,0,0,0,0,0,0,0,0,0
31,7,2012,41,2,0,0,0,1,0,0,0,0,1
31,8,2012,41,2,0,0,1,0,0,0,0,0,1
31,9,2012,41,2,0,0,0,0,0,0,0,0,0
31,10,2012,41,2,0,0,0,0,0,0,0,0,0
31,11,2012,41,2,0,0,1,1,1,0,0,0,3
31,12,2012,41,2,0,0,0,0,0,0,0,0,0
32,1,2012,18,2,0,0,0,0,0,0,0,0,0
32,2,2012,18,2,0,0,0,0,0,0,0,0,0
32,3,2012,18,2,0,0,0,0,0,0,0,0,0
