cisp,mes,ano,aisp,risp,total
89,7,2014,37,5,41
89,8,2014,37,5,21
89,9,2014,37,5,55
89,10,2014,37,5,29
89,11,2014,37,5,131
89,12,2014,37,5,61
90,1,2014,28,5,28
90,2,2014,28,5,24
90,3,2014,28,5,54
90,4,2014,28,5,68
90,5,2014,28,5,30
90,6,2014,28,5,37
90,7,2014,28,5,90
90,8,2014,28,5,88
90,9,2014,28,5,32
90,10,2014,28,5,37
90,11,2014,28,5,14
90,12,2014,28,5,22
91,1,2014,10,5,65
91,2,2014,10,5,0
91,3,2014,10,5,45
91,4,2014,10,5,20
91,5,2014,10,5,0
91,6,2014,10,5,15
91,7,2014,10,5,2
91,8,2014,10,5,64
91,9,2014,10,5,12
91,10,2014,10,5,74
91,11,2014,10,5,7
91,12,2014,10,5,9
92,1,2014,10,5,0
92,2,2014,10,5,0
92,3,2014,10,5,0
92,4,2014,10,5,0
92,5,2014,10,5,1
92,6,2014,10,5,0
92,7,2014,10,5,37
92,8,2014,10,5,0
92,9,2014,10,5,11
92,10,2014,10,5,0
92,11,2014,10,5,0
92,12,2014,10,5,0
93,1,2014,28,5,71
93,2,2014,28,5,188
93,3,2014,28,5,20
93,4,2014,28,5,85
93,5,2014,28,5,102
93,6,2014,28,5,55
93,7,2014,28,5,79
93,8,2014,28,5,39
93,9,2014,28,5,266
93,10,2014,28,5,135
93,11,2014,28,5,48
93,12,2014,28,5,193
94,1,2014,10,5,8
94,2,2014,10,5,0
94,3,2014,10,5,5
94,4,2014,10,5,5
94,5,2014,10,5,0
94,6,2014,10,5,6
94,7,2014,10,5,0
94,8,2014,10,5,0
94,9,2014,10,5,0
94,10,2014,10,5,6
94,11,2014,10,5,0
94,12,2014,10,5,0
95,1,2014,10,5,2
95,2,2014,10,5,0
95,3,2014,10,5,15
95,4,2014,10,5,0
95,5,2014,10,5,0
95,6,2014,10,5,3
95,7,2014,10,5,5
95,8,2014,10,5,7
95,9,2014,10,5,0
95,10,2014,10,5,11
95,11,2014,10,5,7
95,12,2014,10,5,26
96,1,2014,10,5,10
96,2,2014,10,5,0
96,3,2014,10,5,8
96,4,2014,10,5,5
96,5,2014,10,5,3
96,6,2014,10,5,26
96,7,2014,10,5,0
96,8,2014,10,5,1
96,9,2014,10,5,0
96,10,2014,10,5,47
96,11,2014,10,5,48
96,12,2014,10,5,1
97,1,2014,10,5,0
97,2,2014,10,5,13
97,3,2014,10,5,0
97,4,2014,10,5,6
97,5,2014,10,5,0
97,6,2014,10,5,7
97,7,2014,10,5,0
97,8,2014,10,5,1
97,9,2014,10,5,0
97,10,2014,10,5,10
97,11,2014,10,5,0
97,12,2014,10,5,0
98,1,2014,10,5,15
98,2,2014,10,5,0
98,3,2014,10,5,0
98,4,2014,10,5,0
98,5,2014,10,5,0
98,6,2014,10,5,74
98,7,2014,10,5,20
98,8,2014,10,5,0
98,9,2014,10,5,0
98,10,2014,10,5,0
98,11,2014,10,5,0
98,12,2014,10,5,3
99,1,2014,37,5,4
99,2,2014,37,5,6
99,3,2014,37,5,6
99,4,2014,37,5,1
99,5,2014,37,5,42
99,6,2014,37,5,17
99,7,2014,37,5,19
99,8,2014,37,5,22
99,9,2014,37,5,67
99,10,2014,37,5,12
99,11,2014,37,5,29
99,12,2014,37,5,8
100,1,2014,37,5,0
100,2,2014,37,5,27
100,3,2014,37,5,102
100,4,2014,37,5,1
100,5,2014,37,5,10
100,6,2014,37,5,0
100,7,2014,37,5,3
100,8,2014,37,5,37
100,9,2014,37,5,152
100,10,2014,37,5,31
100,11,2014,37,5,18
100,12,2014,37,5,2
101,1,2014,28,5,0
101,2,2014,28,5,0
101,3,2014,28,5,0
101,4,2014,28,5,2
101,5,2014,28,5,0
101,6,2014,28,5,0
101,7,2014,28,5,0
101,8,2014,28,5,54
101,9,2014,28,5,64
101,10,2014,28,5,0
101,11,2014,28,5,0
101,12,2014,28,5,21
104,1,2014,30,7,4
104,2,2014,30,7,0
104,3,2014,30,7,0
104,4,2014,30,7,34
104,5,2014,30,7,0
104,6,2014,30,7,0
104,7,2014,30,7,1
104,8,2014,30,7,0
104,9,2014,30,7,0
104,10,2014,30,7,0
104,11,2014,30,7,0
104,12,2014,30,7,0
105,1,2014,26,7,11
105,2,2014,26,7,47
105,3,2014,26,7,26
105,4,2014,26,7,37
105,5,2014,26,7,49
105,6,2014,26,7,107
105,7,2014,26,7,55
105,8,2014,26,7,31
105,9,2014,26,7,88
105,10,2014,26,7,21
105,11,2014,26,7,22
105,12,2014,26,7,0
106,1,2014,26,7,0
106,2,2014,26,7,0
